season,method,fairness_rate,popularity_fan_ndcg,excitement_reversal_rate
1,rank,0.0,0.9627499113904496,0.22333333333333333
2,rank,0.75,0.984299496170711,0.4729024943310658
3,rank,0.0,1.0,0.38430335097001767
4,rank,0.0,1.0,0.3562008978675646
5,rank,0.0,1.0,0.33645181978515315
6,rank,0.5,1.0,0.33730158730158727
7,rank,1.0,0.9951745819405344,0.374050024050024
8,rank,0.5,0.9966719258393065,0.42331113331113335
9,rank,0.3333333333333333,0.9947855707880663,0.45000986667653325
10,rank,1.0,0.9983799578454176,0.3581329164662498
11,rank,1.0,1.0,0.3272286355619689
12,rank,,0.9972054027228819,0.44270081770081765
13,rank,0.6666666666666666,0.9909384486772993,0.46242584575917905
14,rank,1.0,1.0,0.5150994067660734
15,rank,1.0,0.9991384578481947,0.577104377104377
16,rank,,0.9982998575371584,0.49490540323873655
17,rank,0.6666666666666666,1.0,0.485930735930736
18,rank,0.6666666666666666,1.0,0.38062369729036394
19,rank,0.75,0.9968819525743491,0.4882359307359307
20,rank,0.8,0.999658498048958,0.4599286515953183
21,rank,0.3333333333333333,1.0,0.5138736263736263
22,rank,0.5,1.0,0.5340628507295173
23,rank,0.5,1.0,0.5112487512487511
24,rank,0.75,0.9981421423778368,0.44818021484688153
25,rank,0.5,0.9973366061215384,0.577287835621169
26,rank,0.5,1.0,0.2916666666666667
27,rank,0.4,0.99995062528276,0.5370265151515152
28,rank,1.0,0.9995648349166262,0.4818650793650793
29,rank,0.6666666666666666,0.9911425749727242,0.6401998001998002
30,rank,0.6470588235294118,0.9795465914393207,0.6846061346061345
31,rank,0.8181818181818182,0.9574989569765963,0.6129290462623795
32,rank,0.9333333333333333,0.9923416186639358,0.42493062493062495
33,rank,0.7777777777777778,0.9872778126283617,0.4940708596958596
34,rank,0.8571428571428571,0.9872981493852662,0.5027669552669553
1,percent,0.0,0.9627499113904496,0.20666666666666664
2,percent,0.5,0.984299496170711,0.38934240362811795
3,percent,0.0,1.0,0.355026455026455
4,percent,0.0,1.0,0.3533790283790284
5,percent,0.0,1.0,0.3136523969857303
6,percent,0.0,1.0,0.34470899470899474
7,percent,1.0,0.9951745819405344,0.37290764790764785
8,percent,0.0,0.9966719258393065,0.38516039516039513
9,percent,0.0,0.9947855707880663,0.5092222592222592
10,percent,0.0,0.9983799578454176,0.3566738816738817
11,percent,0.0,1.0,0.3841069424402758
12,percent,,0.9972054027228819,0.44270081770081765
13,percent,0.0,0.9909384486772993,0.5044011544011543
14,percent,0.0,1.0,0.48732162898829556
15,percent,0.5,0.9991384578481947,0.45818101651434984
16,percent,,0.9982998575371584,0.49490540323873655
17,percent,0.0,1.0,0.45120851370851367
18,percent,0.3333333333333333,0.999974878995853,0.3744508577841911
19,percent,0.5,0.9968819525743491,0.49490259740259734
20,percent,0.0,0.999658498048958,0.40226871893538557
21,percent,0.6666666666666666,0.9975716248678022,0.568040293040293
22,percent,0.0,1.0,0.5195566778900113
23,percent,0.0,1.0,0.5171553446553446
24,percent,0.25,0.9981421423778368,0.31193682860349525
25,percent,0.0,0.9973366061215384,0.5476582059915392
26,percent,0.5,1.0,0.19444444444444442
27,percent,0.0,0.99995062528276,0.49406565656565654
28,percent,1.0,0.9995648349166262,0.501984126984127
29,percent,1.0,0.9911425749727242,0.7243989343989344
30,percent,1.0,0.9795465914393207,0.7750897250897251
31,percent,1.0,0.9574989569765963,0.737952787952788
32,percent,0.8666666666666667,0.9923416186639358,0.5011557886557887
33,percent,1.0,0.9872778126283617,0.6591682622932622
34,percent,1.0,0.9872981493852662,0.5613708513708513
1,eshap_topsis,0.0,0.9627499113904496,0.2733333333333333
2,eshap_topsis,0.375,0.984299496170711,0.30187074829931976
3,eshap_topsis,0.3333333333333333,1.0,0.408994708994709
4,eshap_topsis,0.0,1.0,0.34015151515151515
5,eshap_topsis,0.0,1.0,0.3588904922238256
6,eshap_topsis,0.0,1.0,0.3669312169312169
7,eshap_topsis,1.0,0.9951745819405344,0.45142696809363475
8,eshap_topsis,0.0,0.9966719258393065,0.40505355755355754
9,eshap_topsis,0.0,0.9947855707880663,0.46279646279646275
10,eshap_topsis,0.0,0.9983799578454176,0.39909812409812406
11,eshap_topsis,0.0,1.0,0.37921276254609587
12,eshap_topsis,,0.9972054027228819,0.4871452621452621
13,eshap_topsis,0.0,0.9909384486772993,0.5145021645021645
14,eshap_topsis,0.0,1.0,0.5150994067660734
15,eshap_topsis,0.0,0.9991384578481947,0.5325196408529743
16,eshap_topsis,,0.9988407908131853,0.49490540323873655
17,eshap_topsis,0.0,1.0,0.49104978354978357
18,eshap_topsis,0.3333333333333333,1.0,0.41519159852493187
19,eshap_topsis,0.5,0.9968819525743491,0.482958152958153
20,eshap_topsis,0.2,0.999658498048958,0.4701699535032869
21,eshap_topsis,0.0,1.0,0.5013736263736263
22,eshap_topsis,0.0,1.0,0.5257295173961841
23,eshap_topsis,0.0,1.0,0.5364410589410589
24,eshap_topsis,0.0,0.9981421423778368,0.34606381273047937
25,eshap_topsis,0.0,0.9973366061215384,0.6383989467322801
26,eshap_topsis,0.0,1.0,0.23611111111111108
27,eshap_topsis,0.2,0.99995062528276,0.5154040404040404
28,eshap_topsis,0.6666666666666666,0.9995648349166262,0.521547619047619
29,eshap_topsis,0.5,0.9911425749727242,0.584592907092907
30,eshap_topsis,0.5882352941176471,0.9795465914393207,0.6395629062295729
31,eshap_topsis,0.4090909090909091,0.9574989569765963,0.4124813458146791
32,eshap_topsis,0.8,0.9923416186639358,0.34059551559551565
33,eshap_topsis,0.6666666666666666,0.9872778126283617,0.37002268564768565
34,eshap_topsis,0.5,0.9872981493852662,0.48577561327561336
