gamma,fairness_rate,popularity_fan_ndcg,excitement_reversal_rate,fairness_ci_low,fairness_ci_high,popularity_ci_low,popularity_ci_high,excitement_ci_low,excitement_ci_high
0.0,0.4827586206896552,0.9554804843633612,0.4687394738889755,0.21071502677775655,0.4291196464381207,0.9469420685042743,0.9652293217656811,0.4322141577833542,0.4972692290032757
0.1,0.4482758620689655,0.954445703357159,0.45376128116991904,0.18946756827731093,0.399684774477973,0.9451229738791157,0.9648103291767753,0.4107879793671547,0.48090889331888537
0.2,0.3850574712643678,0.9541891332699459,0.4558100906107551,0.1230414438502674,0.327947512811943,0.9447100727622237,0.9646478559259004,0.41799395161457487,0.48196486091765756
0.30000000000000004,0.3563218390804598,0.9522157535234357,0.4509564540295437,0.10254645987182752,0.31572414998196247,0.9428155705942326,0.9628509292509762,0.41070014812046934,0.4746854585033637
0.4,0.3275862068965517,0.9517662172329177,0.45959404198606857,0.07760158040488924,0.25199680961399706,0.9420536303094351,0.9622682966386016,0.4174614499127805,0.4850471419984725
0.5,0.25862068965517243,0.9503239878170682,0.45512402879512515,0.061613472567057126,0.19762340944900686,0.941221835759838,0.9618943490098725,0.4100037080164881,0.4821026166553127
0.6000000000000001,0.22413793103448276,0.9502761293392539,0.45277196041315637,0.05188210227272727,0.18184512536075034,0.9411793076077027,0.9618943945682116,0.4089711467556137,0.4832560095360339
0.7000000000000001,0.16666666666666666,0.9511054684733302,0.45641909769816746,0.03718785809778457,0.13893461930226636,0.94150017702576,0.96246698228107,0.4134722131892125,0.4861760770247946
0.8,0.11494252873563218,0.9515424662278086,0.4586901009658485,0.027769806786350906,0.10515804712036328,0.9420924861554046,0.9629084559553716,0.414851329704052,0.490546443800908
0.9,0.10344827586206896,0.9527856386998838,0.462505462422406,0.026256707702020203,0.09147756451065274,0.943267308668972,0.9632042390294252,0.41627330041298444,0.4921865271652561
1.0,0.09770114942528736,0.9501945980107084,0.46508747804428874,0.020097064393939393,0.08272418247602072,0.9408767080302769,0.9608697561151845,0.41701437866003693,0.4934979339654146
