fusion_weight,exact_elim,exact_all,hit_all_true,bottom2_cover
0.0,0.3787878787878788,0.5104477611940299,0.3787878787878788,0.6515151515151515
0.1,0.4053030303030303,0.5313432835820896,0.4053030303030303,0.7007575757575758
0.2,0.4659090909090909,0.5791044776119403,0.4659090909090909,0.7840909090909091
0.30000000000000004,0.5037878787878788,0.608955223880597,0.5037878787878788,0.8560606060606061
0.4,0.5871212121212122,0.6746268656716418,0.5871212121212122,0.8863636363636364
0.5,0.6818181818181818,0.7492537313432835,0.6818181818181818,0.9166666666666666
0.6000000000000001,0.7348484848484849,0.7910447761194029,0.7348484848484849,0.9356060606060606
0.7000000000000001,0.7613636363636364,0.8119402985074626,0.7613636363636364,0.946969696969697
0.8,0.7803030303030303,0.826865671641791,0.7803030303030303,0.9507575757575758
0.9,0.7840909090909091,0.8298507462686567,0.7840909090909091,0.9507575757575758
1.0,0.8181818181818182,0.8567164179104477,0.8181818181818182,0.946969696969697
