metric,value
总体冲突率,0.3636
冲突周次数/总淘汰周次数,96/264
排名法淘汰预测准确率,0.4545
百分比法淘汰预测准确率,0.7386
排名法Bottom-2覆盖率,0.7348
百分比法Bottom-2覆盖率,0.8598
排名法平均粉丝偏向,0.4924
百分比法平均粉丝偏向,0.4740
平均肯德尔相关系数,0.7940
排名法平均NDCG,0.9644
百分比法平均NDCG,0.8858
分析的争议案例数,4
方法一致率(两种方法结果相同),0.6364
排名法匹配真实淘汰率,0.4545
百分比法匹配真实淘汰率,0.7386
Twist规则改变结果比例,0.3182
推荐方法,rank
推荐使用Twist规则,是
排名法得分,2
百分比法得分,1
