season,week,celebrity_name,share_q10,share_q50,share_q90,rel_ci80
1,1,Joey McIntyre,0.00038666583355201345,0.3056624785590247,0.6109382912844974,0.6105516254509453
1,1,John O'Hurley,0.00038666583355201345,0.3056624785590247,0.6109382912844974,0.6105516254509453
1,1,Rachel Hunter,0.00038666583355201345,0.3056624785590247,0.6109382912844974,0.6105516254509453
1,1,Evander Holyfield,5.1465962018930334e-05,0.041366918110590664,0.08268237025916239,0.08263090429714345
1,1,Trista Sutter,5.1465962018930334e-05,0.041366918110590664,0.08268237025916239,0.08263090429714345
1,1,Kelly Monaco,0.0,0.0002787281017446686,0.0005581014308869905,0.0005581014308869905
1,2,Evander Holyfield,0.4168603097772473,0.41686667666666655,0.4168730435560858,1.2733778838480703e-05
1,2,John O'Hurley,0.0,0.4162666166666668,1.0,1.0
1,2,Kelly Monaco,0.16675785560533443,0.16686667666666655,0.16697549772799866,0.00021764212266423
1,2,Rachel Hunter,0.0,1.0000000078003162e-08,0.11824255059963462,0.11824255059963462
1,2,Trista Sutter,0.0,1.0000000000049026e-08,0.0007977139739195427,0.0007977139739195427
1,2,Joey McIntyre,0.0,9.999999999999994e-09,0.00588790846062275,0.00588790846062275
1,3,Rachel Hunter,0.001091974624797598,0.8617783905937556,1.0,0.9989080253752024
1,3,John O'Hurley,0.00014691912705143417,0.11662902257819817,0.23311112602934492,0.23296420690229347
1,3,Joey McIntyre,1.9019773589631916e-05,0.015784021804229744,0.031549023834869856,0.031530004061280224
1,3,Kelly Monaco,6.365664824238559e-06,0.005806617120777899,0.01160686857673156,0.011600502911907321
1,3,Evander Holyfield,0.0,1.947903038559871e-06,4.892067320713314e-06,4.892067320713314e-06
1,4,Kelly Monaco,0.0009199802402432011,0.7261657125463147,1.0,0.9990800197597568
1,4,Rachel Hunter,0.00033781049781433925,0.2671414365294005,0.5339450625609866,0.5336072520631723
1,4,John O'Hurley,5.206775776971095e-06,0.004892866083690201,0.00978052539160343,0.009775318615826459
1,4,Joey McIntyre,1.2841469080140163e-06,0.0017999848405946546,0.0035986855342812953,0.003597401387373281
1,5,John O'Hurley,0.0012169680569603658,0.9603321551125757,1.0,0.9987830319430396
