metric,value
总体冲突率,0.0644
冲突周次数/总淘汰周次数,17/264
排名法淘汰预测准确率,0.3977
百分比法淘汰预测准确率,0.4545
排名法Bottom-2覆盖率,0.6932
百分比法Bottom-2覆盖率,0.7311
排名法平均粉丝偏向,0.5044
百分比法平均粉丝偏向,0.5044
平均肯德尔相关系数,0.9886
排名法平均NDCG,0.9997
百分比法平均NDCG,0.9994
分析的争议案例数,4
方法一致率(两种方法结果相同),0.9356
排名法匹配真实淘汰率,0.3977
百分比法匹配真实淘汰率,0.4545
Twist规则改变结果比例,0.1420
推荐方法,percent
推荐使用Twist规则,是
排名法得分,1
百分比法得分,2
