industry_category,count,judge_pred_mean,fan_pred_mean,judge_actual_mean,fan_actual_mean
Entertainment,1364.0,25.699344635009766,133352.1875,25.923258211143697,134142.69716454818
Media,594.0,26.133935928344727,124575.296875,26.14154915824916,125109.23269168648
Model,76.0,23.079267501831055,103739.3046875,23.46709605263158,109288.91483109456
Other,95.0,24.621509552001953,111752.9140625,25.43859157894737,114439.26241713413
Sports,648.0,25.426740646362305,134094.96875,26.339156635802468,142032.0823949129
