age_group,count,judge_pred_mean,fan_pred_mean,judge_actual_mean,fan_actual_mean
26-35,985.0,26.371458053588867,144491.078125,26.607183959390863,149245.9727805838
36-45,642.0,24.56534767150879,118778.53125,25.05018489096573,121226.19971938276
46-55,364.0,24.04523277282715,105313.3203125,24.681772802197802,106698.11569281087
>55,233.0,21.815528869628906,90569.6484375,21.775748927038627,87556.56816593297
≤25,553.0,28.14599609375,150575.140625,28.58432857142857,152670.34737149312
